FID,meetwaarde_identificatie,monprog_naam,meetpunt_identificatie,geometriepunt_x,geometriepunt_y,monster_identificatie,compartiment_code,bemonsteringsmethode_code,veldapparaat_code,monsternemingsdatum,monsternemingstijd,monster_tijdutcoffset,referentiehorizontaal_code,grootheid_code,parameter_groep,parameter_omschrijving,eenheid_code,hoedanigheid_code,waardebewerkingsmethode_code,waardebepalingsmethode_code,begindatum,begintijd,meetwaarde_tijdutcoffset,resultaatdatum,resultaatutcoffset,limietsymbool,numeriekewaarde,alfanumeriekewaarde,kwaliteitsoordeel_code,the_geom
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d712dd_-69fa,36441050,RWS_2015_01 Benthos Hamon,KLAVERBANK,2.88785091,54.04720903,RWS2015_HA_KLA32_NFZ,BS,,Hamon happer,02-07-15,20:06:00,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Sabellaria spinulosa,g/m2,adg,,"A-207 Waterbodem zacht,",02-07-15,20:06:00,NaN,02-07-15,NaN,,0.00356,,0,POINT (2.88785091 54.047209066915514)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d712dd_-647c,36442672,RWS_2015_01 Benthos Hamon,KLAVERBANK,2.85369488,54.09665926,RWS2015_HA_KLA47R_NFZ,BS,,Hamon happer,03-07-15,14:00:00,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Sabellaria spinulosa,g/m2,adg,,"A-207 Waterbodem zacht,",03-07-15,14:00:00,NaN,03-07-15,NaN,,0.144,,0,POINT (2.853694881 54.09665929685421)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d712dd_-5ec3,36443315,RWS_2015_01 Benthos Hamon,KLAVERBANK,2.96558904,53.91898047,RWS2015_HA_KLA51_LIZ,BS,,Hamon happer,01-07-15,18:45:00,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Sabellaria spinulosa,g/m2,adg,,"A-207 Waterbodem zacht,",01-07-15,18:45:00,NaN,01-07-15,NaN,,0.10756,,0,POINT (2.965589043000001 53.9189805070733)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d712dd_-5572,36443256,RWS_2015_01 Benthos Hamon,KLAVERBANK,2.96558904,53.91898047,RWS2015_HA_KLA51_LIZ,BS,,Hamon happer,01-07-15,18:45:00,NaN,EPSG4258,AANTPOPVTE,Biotaxon,Sabellaria spinulosa,n/m2,NVT,,"A-207 Waterbodem zacht,",01-07-15,18:45:00,NaN,01-07-15,NaN,,533,,0,POINT (2.965589043000001 53.9189805070733)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d712dd_-5571,36442597,RWS_2015_01 Benthos Hamon,KLAVERBANK,2.85369488,54.09665926,RWS2015_HA_KLA47R_NFZ,BS,,Hamon happer,03-07-15,14:00:00,NaN,EPSG4258,AANTPOPVTE,Biotaxon,Sabellaria spinulosa,n/m2,NVT,,"A-207 Waterbodem zacht,",03-07-15,14:00:00,NaN,03-07-15,NaN,,311,,0,POINT (2.853694881 54.09665929685421)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d712dd_-5570,36440983,RWS_2015_01 Benthos Hamon,KLAVERBANK,2.88785091,54.04720903,RWS2015_HA_KLA32_NFZ,BS,,Hamon happer,02-07-15,20:06:00,NaN,EPSG4258,AANTPOPVTE,Biotaxon,Sabellaria spinulosa,n/m2,NVT,,"A-207 Waterbodem zacht,",02-07-15,20:06:00,NaN,02-07-15,NaN,,22,,0,POINT (2.88785091 54.047209066915514)
