;sample;location;project;size;latitude;longitude;depth;abundance;pressence
766;2013T45-D17-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;17;0;0
1016;2013T20-D17-N;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;17;0;0
863;2013T01-D10-N;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;10;0;0
601;2013T60-D05-Z;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;5;0;0
812;2013T01-D02-Z;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;2;0;0
1010;2013T20-D10-Z;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;10;0;0
726;2013T45-D05-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;5;0;0
896;2013T01-D17-Z;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;17;0;0
943;2013T20-D02-Z;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;2;0;0
540;2013T60-DSP-Z;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;0;0;0
583;2013T60-D05-N;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;5;0;0
531;2013T60-DSP-N;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;0;0;0
615;2013T60-D10-N;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;10;0;0
961;20-D5-Z-2011;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;5;0;0
714;2013T45-D05-N;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;5;0;0
727;2013T45-D05-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;5;0;0
937;2013T20-D02-N;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;2;0;0
690;2013T45-D02-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;2;0;0
565;2013T60-D02-Z;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;2;0;0
652;2013T60-D17-Z;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;17;0;0
708;2013T45-D05-N;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;5;0;0
903;2013T01-DSC-N;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;23;0;0
902;2013T01-DSC-N;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;23;0;0
759;45-D10-N-2011;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;10;0;0
811;2013T01-D02-Z;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;2;0;0
787;2013T45-DSC-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;24.5;0;0
774;2013T45-D17-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;17;0;0
739;2013T45-D10-N;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;10;0;0
919;2013T20-DSP-N;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;0;0;0
891;2013T01-D17-N;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;17;0;0
875;2013T01-D10-Z;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;10;0;0
736;2013T45-D10-N;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;10;0;0
871;2013T01-D10-Z;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;10;0;0
723;2013T45-D05-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;5;0;0
683;2013T45-D02-N;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;2;0;0
999;2013T20-D10-Z;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;10;0;0
744;2013T45-D10-N;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;10;0;0
730;2013T45-D05-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;5;0;0
1024;2013T20-DSC-Z;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;21;0;0
923;2013T20-DSP-Z;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;0;0;0
957;2013T20-D02-Z;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;2;0;0
692;2013T45-D02-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;2;0;0
711;2013T45-D05-N;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;5;0;0
677;2013T45-DSP-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;0;0;0
771;2013T45-D17-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;17;0;0
830;2013T01-D05-N;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;5;0;0
809;2013T01-D02-Z;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;2;0;0
594;2013T60-D05-Z;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;5;0;0
605;60-D5-Z-2011;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;5;0;0
681;2013T45-D02-N;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;2;0;0
621;2013T60-D10-Z;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;10;0;0
799;2013T01-D02-N;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;2;0;0
643;2013T60-D17-N;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;17;0;0
1009;2013T20-D10-Z;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;10;0;0
866;2013T01-D10-Z;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;10;0;0
687;2013T45-D02-N;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;2;0;0
867;2013T01-D10-Z;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;10;0;0
832;2013T01-D05-N;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;5;0;0
958;2013T20-D02-Z;PAWP_T20;PAWP;0.056;52.58684389;4.246090677;2;0;0
857;2013T01-D10-N;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;10;0;0
720;2013T45-D05-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;5;0;0
613;2013T60-D10-N;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;10;0;0
590;2013T60-D05-N;PAWP_T60;PAWP;0.056;52.57349304;4.210547116;5;0;0
890;2013T01-D17-N;PAWP_T01;PAWP;0.056;52.6045754;4.240746157;17;0;0
782;2013T45-DSC-Z;PAWP_T45;PAWP;0.056;52.58124512;4.217343286;24.5;0;0
